epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.68,1.73655,1.69536,1.1021,0.22747,0.22906,0.15793,0.07705,1.74991,1.448,1.08779,0.0033251,0.0033251,0.0700741
2,328.85,1.70147,1.52223,1.09337,0.38889,0.22109,0.18161,0.09315,1.6848,1.4767,1.05097,0.0065266,0.0065266,0.0399422
3,486.468,1.64706,1.42002,1.06992,0.38905,0.28733,0.24978,0.13778,1.52956,1.25127,1.00741,0.0095961,0.0095961,0.0096784
4,643.973,1.61211,1.35095,1.05217,0.37898,0.33001,0.27567,0.14969,1.51663,1.16545,0.99928,0.009406,0.009406,0.009406
5,800.732,1.56533,1.28919,1.03792,0.39794,0.33999,0.30279,0.16253,1.53415,1.16115,1.00367,0.009208,0.009208,0.009208
6,957.424,1.547,1.26656,1.03518,0.43596,0.35366,0.32385,0.1712,1.57107,1.10779,1.00573,0.00901,0.00901,0.00901
7,1116.15,1.51564,1.21698,1.02065,0.43419,0.3585,0.32799,0.17664,1.49838,1.10394,0.98463,0.008812,0.008812,0.008812
8,1273.33,1.51423,1.19997,1.01729,0.4662,0.38362,0.34772,0.18913,1.48699,1.04932,0.97926,0.008614,0.008614,0.008614
9,1430.68,1.5015,1.17232,1.00729,0.48685,0.3863,0.36025,0.19654,1.47416,1.04551,0.97592,0.008416,0.008416,0.008416
10,1587.28,1.49067,1.15862,1.00712,0.45594,0.38953,0.35924,0.19824,1.43469,1.04642,0.96358,0.008218,0.008218,0.008218
11,1743.61,1.48781,1.14978,1.00455,0.49172,0.38313,0.36562,0.20059,1.45679,1.03586,0.96278,0.00802,0.00802,0.00802
12,1900.23,1.47968,1.13519,0.99891,0.50213,0.38802,0.37947,0.20934,1.42859,1.02293,0.96119,0.007822,0.007822,0.007822
13,2056.28,1.46222,1.11397,0.99533,0.52007,0.39783,0.39249,0.22212,1.41227,0.99483,0.95352,0.007624,0.007624,0.007624
14,2212.26,1.45408,1.10987,0.99404,0.49557,0.40283,0.38315,0.21026,1.45053,1.00536,0.96232,0.007426,0.007426,0.007426
15,2368.86,1.45045,1.09553,0.98999,0.49955,0.4267,0.40706,0.22689,1.40969,0.97265,0.95671,0.007228,0.007228,0.007228
16,2524.99,1.44737,1.08918,0.9917,0.51712,0.41769,0.408,0.2308,1.39884,0.96528,0.94963,0.00703,0.00703,0.00703
17,2681.46,1.44199,1.08074,0.99019,0.51306,0.41983,0.40472,0.22672,1.39634,0.98548,0.95166,0.006832,0.006832,0.006832
18,2838.82,1.42781,1.0667,0.98585,0.52931,0.42184,0.41906,0.23458,1.39285,0.97416,0.94971,0.006634,0.006634,0.006634
19,2994.95,1.43382,1.06452,0.98493,0.51248,0.43358,0.42261,0.23649,1.39714,0.95615,0.94724,0.006436,0.006436,0.006436
20,3151.13,1.41743,1.05433,0.98083,0.53276,0.42763,0.41848,0.23183,1.42851,0.95738,0.95071,0.006238,0.006238,0.006238
21,3307.19,1.41913,1.03468,0.97982,0.54312,0.43615,0.43,0.23917,1.41637,0.94217,0.94899,0.00604,0.00604,0.00604
22,3463.72,1.41385,1.0347,0.97626,0.53686,0.42702,0.41868,0.23265,1.41593,0.95701,0.94792,0.005842,0.005842,0.005842
23,3620.23,1.39846,1.01756,0.97459,0.55195,0.43876,0.43684,0.24597,1.40126,0.93665,0.94205,0.005644,0.005644,0.005644
